gen,best_exp_2,median_exp_2,best_passes_exp_2,med_passes_exp_2
1,26.199999999999996,0.0,0.00,0.00
2,25.699999999999996,0.5,0.00,0.00
3,26.54,1.1,0.00,0.00
4,26.54,4.239999999999999,0.00,0.00
5,30.080000000000002,7.899999999999999,0.00,0.00
6,28.28,10.979999999999997,0.00,0.00
7,30.259999999999998,12.559999999999999,0.00,0.00
8,29.060000000000002,13.5,0.00,0.00
9,30.839999999999996,14.12,0.00,0.00
10,29.679999999999996,15.099999999999998,0.00,0.00
11,29.8,14.940000000000001,0.00,0.00
12,29.099999999999994,15.26,0.00,0.00
13,29.859999999999996,15.239999999999998,0.00,0.00
14,29.1,14.839999999999998,0.00,0.00
15,29.839999999999996,14.799999999999997,0.00,0.00
16,29.339999999999996,14.9,0.00,0.00
17,29.919999999999998,15.459999999999999,0.00,0.00
18,29.599999999999994,14.86,0.00,0.00
19,28.479999999999997,15.36,0.00,0.00
20,31.499999999999993,15.459999999999999,0.00,0.00
21,29.459999999999997,15.199999999999998,0.00,0.00
22,29.880000000000003,14.839999999999998,0.00,0.00
23,29.899999999999995,15.459999999999999,0.00,0.00
24,30.5,15.239999999999998,0.00,0.00
25,28.639999999999997,15.12,0.00,0.00
26,28.339999999999996,15.1,0.00,0.00
27,27.639999999999997,15.540000000000001,0.00,0.00
28,30.2,15.02,0.00,0.00
29,29.24,15.279999999999998,0.00,0.00
30,28.440000000000005,15.099999999999998,0.00,0.00
31,31.299999999999994,14.959999999999997,0.00,0.00
32,29.1,15.219999999999995,0.00,0.00
33,28.639999999999993,15.019999999999996,0.00,0.00
34,30.45999999999999,14.48,0.00,0.00
35,29.339999999999996,14.979999999999999,0.00,0.00
36,29.71999999999999,15.279999999999998,0.00,0.00
37,31.679999999999996,15.399999999999997,0.00,0.00
38,31.560000000000002,14.959999999999997,0.00,0.00
39,29.55999999999999,14.879999999999999,0.00,0.00
40,29.24,15.139999999999997,0.00,0.00
41,29.6,14.939999999999998,0.00,0.00
42,28.759999999999998,15.52,0.00,0.00
43,30.02,15.5,0.00,0.00
44,28.859999999999996,15.359999999999996,0.00,0.00
45,29.179999999999996,14.979999999999999,0.00,0.00
46,29.2,15.419999999999998,0.00,0.00
47,30.519999999999992,15.219999999999999,0.00,0.00
48,28.399999999999995,15.62,0.00,0.00
49,29.359999999999996,14.579999999999998,0.00,0.00
50,29.0,15.399999999999997,0.00,0.00
