gen,best_exp_3,median_exp_3,best_passes_exp_3,med_passes_exp_3
1,36.42,0.0,1.20,0.00
2,28.4,0.0,0.90,0.00
3,32.66,0.0,1.30,0.00
4,36.38,0.2,1.50,0.10
5,41.839999999999996,1.4599999999999997,2.50,3.80
6,41.48,3.28,2.50,0.10
7,46.699999999999996,4.08,2.70,0.80
8,45.86,9.2,2.80,0.00
9,47.8,11.08,3.50,0.00
10,46.739999999999995,13.14,3.90,0.00
11,47.85999999999999,13.3,3.70,0.00
12,50.53999999999999,14.059999999999997,3.80,0.00
13,51.31999999999999,14.439999999999998,3.10,0.00
14,50.24,14.799999999999997,4.40,0.00
15,59.220000000000006,14.939999999999998,4.10,0.00
16,57.500000000000014,14.719999999999999,3.80,0.00
17,53.48,15.239999999999998,4.00,0.00
18,53.11999999999999,15.419999999999998,3.90,0.00
19,52.11999999999999,14.939999999999998,3.00,0.00
20,64.04,15.820000000000002,4.10,0.00
21,53.15999999999999,15.679999999999996,3.50,0.00
22,48.04,15.099999999999998,3.20,0.00
23,54.23999999999999,15.26,3.60,0.00
24,51.36,15.36,3.00,0.00
25,49.28,15.539999999999997,2.90,0.00
26,52.080000000000005,15.279999999999998,3.50,0.00
27,58.260000000000005,15.039999999999997,3.30,0.00
28,50.779999999999994,15.639999999999997,3.10,0.00
29,52.279999999999994,14.959999999999999,2.80,0.00
30,59.039999999999985,15.839999999999998,3.70,0.00
31,54.839999999999996,15.719999999999999,3.90,0.00
32,70.58,16.099999999999998,4.80,0.00
33,60.760000000000005,15.8,4.00,0.00
34,66.96,16.5,4.90,0.00
35,59.919999999999995,16.319999999999997,4.60,0.00
36,60.6,15.979999999999999,4.30,0.00
37,61.080000000000005,15.819999999999999,4.70,0.00
38,74.02000000000001,16.199999999999996,4.90,0.00
39,67.72,16.419999999999998,4.70,0.00
40,65.76,15.219999999999999,4.40,0.00
41,61.980000000000004,15.759999999999996,4.40,0.00
42,60.98,16.559999999999995,3.80,0.00
43,64.8,16.08,4.20,0.00
44,62.3,15.62,3.70,0.00
45,53.92,16.18,3.30,0.00
46,60.4,16.279999999999998,3.70,0.00
47,60.339999999999996,16.1,3.70,0.00
48,65.0,16.639999999999997,4.40,0.00
49,65.4,16.66,4.20,0.00
50,64.75999999999999,16.639999999999997,4.00,0.00
