INFO 03:31:41: Loading World
INFO 03:31:41: Creating Threads
INFO 03:31:41: Starting Threads
INFO 03:31:41: Making Agents
INFO 03:33:27: Gen 1 Best: 26.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:28: Gen 2 Best: 24.80, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:29: Gen 3 Best: 24.60, Median: 2.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:30: Gen 4 Best: 29.40, Median: 6.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:33:32: Gen 5 Best: 27.40, Median: 10.40, 75th: 1.00, Best Passes: 0, Median Passes: 0
INFO 03:33:33: Gen 6 Best: 31.00, Median: 11.80, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:33:34: Gen 7 Best: 32.80, Median: 13.00, 75th: 2.00, Best Passes: 0, Median Passes: 0
INFO 03:33:36: Gen 8 Best: 40.60, Median: 13.60, 75th: 7.60, Best Passes: 0, Median Passes: 0
INFO 03:33:37: Gen 9 Best: 29.00, Median: 16.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:33:38: Gen 10 Best: 29.60, Median: 14.00, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:33:40: Gen 11 Best: 27.40, Median: 15.20, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:33:41: Gen 12 Best: 28.60, Median: 14.80, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:33:43: Gen 13 Best: 39.60, Median: 15.20, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:33:44: Gen 14 Best: 32.00, Median: 14.80, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:33:46: Gen 15 Best: 30.60, Median: 15.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:33:47: Gen 16 Best: 29.00, Median: 15.60, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:33:48: Gen 17 Best: 29.60, Median: 14.20, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:33:50: Gen 18 Best: 28.60, Median: 15.20, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:33:51: Gen 19 Best: 34.40, Median: 14.00, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:33:53: Gen 20 Best: 30.40, Median: 14.40, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:33:54: Gen 21 Best: 26.00, Median: 16.20, 75th: 12.80, Best Passes: 0, Median Passes: 0
INFO 03:33:56: Gen 22 Best: 32.60, Median: 14.80, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:33:57: Gen 23 Best: 33.00, Median: 15.40, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:33:59: Gen 24 Best: 32.80, Median: 15.00, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:34:00: Gen 25 Best: 32.00, Median: 15.00, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:34:01: Gen 26 Best: 27.80, Median: 16.80, 75th: 13.00, Best Passes: 0, Median Passes: 0
INFO 03:34:03: Gen 27 Best: 27.80, Median: 14.40, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:34:04: Gen 28 Best: 28.40, Median: 14.20, 75th: 10.20, Best Passes: 0, Median Passes: 0
INFO 03:34:05: Gen 29 Best: 25.00, Median: 14.60, 75th: 11.60, Best Passes: 0, Median Passes: 0
INFO 03:34:07: Gen 30 Best: 40.60, Median: 14.20, 75th: 11.20, Best Passes: 0, Median Passes: 0
INFO 03:34:08: Gen 31 Best: 29.00, Median: 15.60, 75th: 12.60, Best Passes: 0, Median Passes: 0
INFO 03:34:09: Gen 32 Best: 28.80, Median: 14.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
INFO 03:34:11: Gen 33 Best: 34.20, Median: 14.20, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:34:12: Gen 34 Best: 33.20, Median: 13.60, 75th: 10.60, Best Passes: 0, Median Passes: 0
INFO 03:34:13: Gen 35 Best: 30.40, Median: 15.40, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:34:15: Gen 36 Best: 27.60, Median: 14.80, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:34:16: Gen 37 Best: 25.80, Median: 14.40, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:34:18: Gen 38 Best: 35.20, Median: 14.60, 75th: 11.40, Best Passes: 0, Median Passes: 0
INFO 03:34:19: Gen 39 Best: 34.60, Median: 16.20, 75th: 12.00, Best Passes: 0, Median Passes: 0
INFO 03:34:20: Gen 40 Best: 28.00, Median: 14.80, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:34:22: Gen 41 Best: 28.20, Median: 15.80, 75th: 11.80, Best Passes: 0, Median Passes: 0
