INFO 03:31:40: Loading World
INFO 03:31:40: Creating Threads
INFO 03:31:40: Starting Threads
INFO 03:31:40: Making Agents
INFO 03:31:40: Architecture: [(3, 3), (6, 2)]
INFO 03:31:40: Number of weights: 26
INFO 03:31:46: Gen 0 Best: 27.20, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:48: Gen 1 Best: 27.60, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:50: Gen 2 Best: 26.40, Median: 8.20, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:31:52: Gen 3 Best: 25.60, Median: 9.40, 75th: 1.00, Best Passes: 0, Median Passes: 0
INFO 03:31:53: Gen 4 Best: 28.00, Median: 9.80, 75th: 3.00, Best Passes: 0, Median Passes: 0
INFO 03:31:54: Gen 5 Best: 26.40, Median: 10.40, 75th: 7.80, Best Passes: 0, Median Passes: 0
INFO 03:31:55: Gen 6 Best: 26.80, Median: 12.40, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:31:56: Gen 7 Best: 27.20, Median: 13.60, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:31:58: Gen 8 Best: 26.40, Median: 12.80, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:31:59: Gen 9 Best: 26.00, Median: 13.60, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:31:59: Gen 10 Best: 25.60, Median: 12.20, 75th: 9.00, Best Passes: 0, Median Passes: 0
INFO 03:32:00: Gen 11 Best: 28.40, Median: 14.40, 75th: 10.40, Best Passes: 0, Median Passes: 0
INFO 03:32:00: Gen 12 Best: 30.20, Median: 12.40, 75th: 7.60, Best Passes: 0, Median Passes: 0
INFO 03:32:01: Gen 13 Best: 28.40, Median: 12.20, 75th: 8.20, Best Passes: 0, Median Passes: 0
INFO 03:32:02: Gen 14 Best: 30.20, Median: 12.00, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:32:03: Gen 15 Best: 27.20, Median: 11.80, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:32:03: Gen 16 Best: 26.80, Median: 12.20, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:32:04: Gen 17 Best: 27.60, Median: 11.60, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:32:04: Gen 18 Best: 29.20, Median: 12.80, 75th: 9.20, Best Passes: 0, Median Passes: 0
INFO 03:32:05: Gen 19 Best: 25.60, Median: 10.60, 75th: 6.60, Best Passes: 0, Median Passes: 0
INFO 03:32:06: Gen 20 Best: 27.60, Median: 14.00, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:32:06: Gen 21 Best: 28.00, Median: 13.40, 75th: 7.60, Best Passes: 0, Median Passes: 0
INFO 03:32:07: Gen 22 Best: 26.80, Median: 11.80, 75th: 6.80, Best Passes: 0, Median Passes: 0
INFO 03:32:08: Gen 23 Best: 28.40, Median: 12.80, 75th: 9.60, Best Passes: 0, Median Passes: 0
INFO 03:32:08: Gen 24 Best: 27.20, Median: 12.20, 75th: 9.00, Best Passes: 0, Median Passes: 0
INFO 03:32:09: Gen 25 Best: 28.40, Median: 13.20, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:32:09: Gen 26 Best: 29.20, Median: 12.40, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:32:10: Gen 27 Best: 26.80, Median: 13.60, 75th: 9.40, Best Passes: 0, Median Passes: 0
INFO 03:32:11: Gen 28 Best: 27.60, Median: 13.40, 75th: 8.60, Best Passes: 0, Median Passes: 0
INFO 03:32:11: Gen 29 Best: 27.20, Median: 14.00, 75th: 10.00, Best Passes: 0, Median Passes: 0
INFO 03:32:12: Gen 30 Best: 26.40, Median: 14.00, 75th: 9.80, Best Passes: 0, Median Passes: 0
INFO 03:32:13: Gen 31 Best: 26.40, Median: 12.40, 75th: 7.40, Best Passes: 0, Median Passes: 0
INFO 03:32:13: Gen 32 Best: 28.80, Median: 12.40, 75th: 7.40, Best Passes: 0, Median Passes: 0
INFO 03:32:14: Gen 33 Best: 28.80, Median: 12.40, 75th: 8.20, Best Passes: 0, Median Passes: 0
INFO 03:32:14: Gen 34 Best: 26.00, Median: 13.60, 75th: 9.20, Best Passes: 0, Median Passes: 0
INFO 03:32:15: Gen 35 Best: 28.00, Median: 12.00, 75th: 8.20, Best Passes: 0, Median Passes: 0
INFO 03:32:16: Gen 36 Best: 26.00, Median: 11.60, 75th: 6.40, Best Passes: 0, Median Passes: 0
INFO 03:32:16: Gen 37 Best: 27.20, Median: 13.00, 75th: 9.40, Best Passes: 0, Median Passes: 0
INFO 03:32:17: Gen 38 Best: 26.80, Median: 13.20, 75th: 9.80, Best Passes: 0, Median Passes: 0
INFO 03:32:18: Gen 39 Best: 27.20, Median: 11.60, 75th: 7.40, Best Passes: 0, Median Passes: 0
INFO 03:32:18: Gen 40 Best: 28.40, Median: 12.00, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:32:19: Gen 41 Best: 27.20, Median: 13.60, 75th: 7.40, Best Passes: 0, Median Passes: 0
INFO 03:32:19: Gen 42 Best: 30.60, Median: 10.40, 75th: 6.20, Best Passes: 0, Median Passes: 0
INFO 03:32:20: Gen 43 Best: 26.80, Median: 13.60, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:32:20: Gen 44 Best: 28.40, Median: 13.60, 75th: 7.20, Best Passes: 0, Median Passes: 0
INFO 03:32:21: Gen 45 Best: 25.60, Median: 12.00, 75th: 8.40, Best Passes: 0, Median Passes: 0
INFO 03:32:22: Gen 46 Best: 28.00, Median: 11.40, 75th: 8.20, Best Passes: 0, Median Passes: 0
INFO 03:32:22: Gen 47 Best: 26.00, Median: 13.20, 75th: 9.00, Best Passes: 0, Median Passes: 0
INFO 03:32:23: Gen 48 Best: 27.60, Median: 13.20, 75th: 8.80, Best Passes: 0, Median Passes: 0
INFO 03:32:23: Gen 49 Best: 28.00, Median: 13.00, 75th: 7.20, Best Passes: 0, Median Passes: 0
INFO 03:32:23: Making Agents
INFO 03:32:23: Architecture: [(3, 3), (6, 2)]
INFO 03:32:23: Number of weights: 26
INFO 03:32:24: Gen 0 Best: 19.60, Median: 0.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:24: Gen 1 Best: 20.80, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:25: Gen 2 Best: 28.80, Median: 1.00, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:25: Gen 3 Best: 27.20, Median: 7.80, 75th: 0.00, Best Passes: 0, Median Passes: 0
INFO 03:32:26: Gen 4 Best: 30.20, Median: 9.00, 75th: 1.00, Best Passes: 0, Median Passes: 0
